alpha,variable,value,metric,group,model_number,percent
0.0,f1scr_0,0.7439180537772087,f1scr,Black,0,74.39180537772087
0.02,f1scr_0,0.7446331304069208,f1scr,Black,1,74.46331304069209
0.04,f1scr_0,0.745349583066068,f1scr,Black,2,74.5349583066068
0.06,f1scr_0,0.7460674157303371,f1scr,Black,3,74.6067415730337
0.08,f1scr_0,0.7467866323907455,f1scr,Black,4,74.67866323907455
0.1,f1scr_0,0.747507237053715,f1scr,Black,5,74.7507237053715
0.12,f1scr_0,0.7482292337411461,f1scr,Black,6,74.82292337411461
0.14,f1scr_0,0.7489526264904931,f1scr,Black,7,74.89526264904931
0.16,f1scr_0,0.7496774193548387,f1scr,Black,8,74.96774193548387
0.18,f1scr_0,0.7504036164029706,f1scr,Black,9,75.04036164029706
0.2,f1scr_0,0.751131221719457,f1scr,Black,10,75.1131221719457
0.22,f1scr_0,0.7518602394047234,f1scr,Black,11,75.18602394047234
0.24,f1scr_0,0.7525906735751295,f1scr,Black,12,75.25906735751295
0.26,f1scr_0,0.753322528363047,f1scr,Black,13,75.3322528363047
0.28,f1scr_0,0.754055807916937,f1scr,Black,14,75.40558079169371
0.3,f1scr_0,0.754790516401429,f1scr,Black,15,75.4790516401429
0.32,f1scr_0,0.7555266579973993,f1scr,Black,16,75.55266579973993
0.34,f1scr_0,0.7562642369020501,f1scr,Black,17,75.62642369020502
0.36,f1scr_0,0.7570032573289902,f1scr,Black,18,75.70032573289902
0.38,f1scr_0,0.7577437235083143,f1scr,Black,19,75.77437235083143
0.4,f1scr_0,0.758485639686684,f1scr,Black,20,75.8485639686684
0.42,f1scr_0,0.7592290101274094,f1scr,Black,21,75.92290101274094
0.44,f1scr_0,0.7599738391105297,f1scr,Black,22,75.99738391105298
0.46,f1scr_0,0.7607201309328969,f1scr,Black,23,76.0720130932897
0.48,f1scr_0,0.7614678899082569,f1scr,Black,24,76.14678899082568
0.5,f1scr_0,0.7622171203673336,f1scr,Black,25,76.22171203673335
0.52,f1scr_0,0.762967826657912,f1scr,Black,26,76.2967826657912
0.54,f1scr_0,0.7637200131449228,f1scr,Black,27,76.37200131449228
0.56,f1scr_0,0.7644736842105263,f1scr,Black,28,76.44736842105263
0.58,f1scr_0,0.7654808959156785,f1scr,Black,29,76.54808959156784
0.6,f1scr_0,0.7662380481371579,f1scr,Black,30,76.6238048137158
0.62,f1scr_0,0.766996699669967,f1scr,Black,31,76.6996699669967
0.64,f1scr_0,0.7677568549719194,f1scr,Black,32,76.77568549719194
0.66,f1scr_0,0.7685185185185185,f1scr,Black,33,76.85185185185185
0.68,f1scr_0,0.7692816948030453,f1scr,Black,34,76.92816948030453
0.7000000000000001,f1scr_0,0.7700463883366467,f1scr,Black,35,77.00463883366467
0.72,f1scr_0,0.7708126036484245,f1scr,Black,36,77.08126036484245
0.74,f1scr_0,0.7715803452855245,f1scr,Black,37,77.15803452855245
0.76,f1scr_0,0.772349617813227,f1scr,Black,38,77.2349617813227
0.78,f1scr_0,0.7731204258150366,f1scr,Black,39,77.31204258150366
0.8,f1scr_0,0.7738927738927739,f1scr,Black,40,77.3892773892774
0.8200000000000001,f1scr_0,0.7746666666666666,f1scr,Black,41,77.46666666666667
0.84,f1scr_0,0.7754421087754421,f1scr,Black,42,77.5442108775442
0.86,f1scr_0,0.7762191048764195,f1scr,Black,43,77.62191048764196
0.88,f1scr_0,0.7769976596456035,f1scr,Black,44,77.69976596456036
0.9,f1scr_0,0.7777777777777778,f1scr,Black,45,77.77777777777779
0.92,f1scr_0,0.7785594639865997,f1scr,Black,46,77.85594639865997
0.9400000000000001,f1scr_0,0.7793427230046949,f1scr,Black,47,77.93427230046949
0.96,f1scr_0,0.7801275595837529,f1scr,Black,48,78.0127559583753
0.98,f1scr_0,0.7809139784946236,f1scr,Black,49,78.09139784946237
1.0,f1scr_0,0.7817019845274134,f1scr,Black,50,78.17019845274133
0.0,f0r_0,0.291398478642481,f0r,Black,0,29.139847864248097
0.02,f0r_0,0.2908878504672897,f0r,Black,1,29.088785046728972
0.04,f0r_0,0.2903790087463557,f0r,Black,2,29.037900874635568
0.06,f0r_0,0.28987194412107103,f0r,Black,3,28.987194412107105
0.08,f0r_0,0.28936664729808254,f0r,Black,4,28.936664729808253
0.1,f0r_0,0.2888631090487239,f0r,Black,5,28.886310904872392
0.12,f0r_0,0.28836132020845395,f0r,Black,6,28.836132020845394
0.14,f0r_0,0.2878612716763006,f0r,Black,7,28.78612716763006
0.16,f0r_0,0.2873629544143104,f0r,Black,8,28.736295441431043
0.18,f0r_0,0.2868663594470046,f0r,Black,9,28.686635944700463
0.2,f0r_0,0.28637147786083955,f0r,Black,10,28.637147786083954
0.22,f0r_0,0.28587830080367393,f0r,Black,11,28.587830080367393
0.24,f0r_0,0.28538681948424066,f0r,Black,12,28.538681948424067
0.26,f0r_0,0.28489702517162474,f0r,Black,13,28.489702517162474
0.28,f0r_0,0.2844089091947459,f0r,Black,14,28.440890919474587
0.3,f0r_0,0.2839224629418472,f0r,Black,15,28.39224629418472
0.32,f0r_0,0.28343767785998863,f0r,Black,16,28.343767785998864
0.34,f0r_0,0.28295454545454546,f0r,Black,17,28.295454545454547
0.36,f0r_0,0.2824730572887124,f0r,Black,18,28.24730572887124
0.38,f0r_0,0.28199320498301245,f0r,Black,19,28.199320498301244
0.4,f0r_0,0.28151498021481064,f0r,Black,20,28.151498021481064
0.42,f0r_0,0.28103837471783294,f0r,Black,21,28.103837471783294
0.44,f0r_0,0.28056338028169014,f0r,Black,22,28.056338028169016
0.46,f0r_0,0.28008998875140606,f0r,Black,23,28.008998875140605
0.48,f0r_0,0.27961819202695115,f0r,Black,24,27.961819202695114
0.5,f0r_0,0.27914798206278024,f0r,Black,25,27.914798206278025
0.52,f0r_0,0.2786793508673755,f0r,Black,26,27.86793508673755
0.54,f0r_0,0.2782122905027933,f0r,Black,27,27.821229050279328
0.56,f0r_0,0.2777467930842164,f0r,Black,28,27.77467930842164
0.58,f0r_0,0.27712854757929883,f0r,Black,29,27.712854757929883
0.6,f0r_0,0.27666666666666667,f0r,Black,30,27.666666666666668
0.62,f0r_0,0.2762063227953411,f0r,Black,31,27.620632279534107
0.64,f0r_0,0.2757475083056478,f0r,Black,32,27.57475083056478
0.66,f0r_0,0.2752902155887231,f0r,Black,33,27.52902155887231
0.68,f0r_0,0.27483443708609273,f0r,Black,34,27.483443708609272
0.7000000000000001,f0r_0,0.2743801652892562,f0r,Black,35,27.43801652892562
0.72,f0r_0,0.2739273927392739,f0r,Black,36,27.39273927392739
0.74,f0r_0,0.27347611202635913,f0r,Black,37,27.347611202635914
0.76,f0r_0,0.2730263157894737,f0r,Black,38,27.302631578947366
0.78,f0r_0,0.27257799671592775,f0r,Black,39,27.257799671592775
0.8,f0r_0,0.2721311475409836,f0r,Black,40,27.21311475409836
0.8200000000000001,f0r_0,0.27168576104746317,f0r,Black,41,27.168576104746318
0.84,f0r_0,0.27124183006535946,f0r,Black,42,27.124183006535947
0.86,f0r_0,0.2707993474714519,f0r,Black,43,27.07993474714519
0.88,f0r_0,0.2703583061889251,f0r,Black,44,27.035830618892508
0.9,f0r_0,0.26991869918699185,f0r,Black,45,26.991869918699184
0.92,f0r_0,0.2694805194805195,f0r,Black,46,26.948051948051948
0.9400000000000001,f0r_0,0.26904376012965964,f0r,Black,47,26.904376012965965
0.96,f0r_0,0.2686084142394822,f0r,Black,48,26.860841423948216
0.98,f0r_0,0.2681744749596123,f0r,Black,49,26.81744749596123
1.0,f0r_0,0.267741935483871,f0r,Black,50,26.7741935483871
0.0,npv_0,0.708601521357519,npv,Black,0,70.8601521357519
0.02,npv_0,0.7091121495327103,npv,Black,1,70.91121495327103
0.04,npv_0,0.7096209912536443,npv,Black,2,70.96209912536443
0.06,npv_0,0.710128055878929,npv,Black,3,71.0128055878929
0.08,npv_0,0.7106333527019175,npv,Black,4,71.06333527019176
0.1,npv_0,0.7111368909512761,npv,Black,5,71.11368909512761
0.12,npv_0,0.711638679791546,npv,Black,6,71.1638679791546
0.14,npv_0,0.7121387283236994,npv,Black,7,71.21387283236994
0.16,npv_0,0.7126370455856895,npv,Black,8,71.26370455856895
0.18,npv_0,0.7131336405529954,npv,Black,9,71.31336405529954
0.2,npv_0,0.7136285221391604,npv,Black,10,71.36285221391604
0.22,npv_0,0.7141216991963261,npv,Black,11,71.4121699196326
0.24,npv_0,0.7146131805157593,npv,Black,12,71.46131805157593
0.26,npv_0,0.7151029748283753,npv,Black,13,71.51029748283753
0.28,npv_0,0.7155910908052542,npv,Black,14,71.55910908052542
0.3,npv_0,0.7160775370581528,npv,Black,15,71.60775370581528
0.32,npv_0,0.7165623221400114,npv,Black,16,71.65623221400114
0.34,npv_0,0.7170454545454545,npv,Black,17,71.70454545454545
0.36,npv_0,0.7175269427112876,npv,Black,18,71.75269427112876
0.38,npv_0,0.7180067950169875,npv,Black,19,71.80067950169875
0.4,npv_0,0.7184850197851894,npv,Black,20,71.84850197851894
0.42,npv_0,0.718961625282167,npv,Black,21,71.8961625282167
0.44,npv_0,0.7194366197183099,npv,Black,22,71.94366197183099
0.46,npv_0,0.7199100112485939,npv,Black,23,71.9910011248594
0.48,npv_0,0.7203818079730488,npv,Black,24,72.03818079730489
0.5,npv_0,0.7208520179372198,npv,Black,25,72.08520179372198
